Year,Country,Town/village,y,x,Virus
1958,Argentina,Junin,-34.58362242,-60.95458078,Junin
1959,Bolivia ,San Joaquin,-13.04235473,-64.67029105,Machupo
2007,Bolivia ,Magdalena,-13.2339213,-64.19984642,Machupo
2008,Bolivia ,Huacaraje,-13.54999999,-63.74997855,Machupo
1994,Bolivia ,Magdalena,-13.25868418,-64.0540558,Machupo
1994,Bolivia ,Magdalena,-13.25868418,-64.0540558,Machupo
1994,Bolivia ,Popona,-14.77655484,-64.84214424,Machupo
2008,Bolivia ,San Ramon,-13.26243262,-64.61556245,Machupo
1993,Bolivia ,San Ramon,-13.26243262,-64.61556245,Machupo
2003,Bolivia ,Samuzabeti,-16.81488428,-65.57145166,Chapare
2019,Bolivia ,Guanay,-15.49596434,-67.88108921,Chapare
1990,Brazil,Jardim Sabia,-23.60270846,-46.8992028,Sabia
2019,Brazil,Sorocaba,-23.49123959,-47.49382517,Sabia
2019,Brazil,Assis,-22.64051616,-50.41513681,Sabia
1989,Venezuela,Guanarito,8.696722932,-69.20910417,Guanarito
1969,Nigeria,Lassa,10.68205527,13.27183388,Lassa
2008,Zambia,Lusaka,-15.42552314,28.41931052,Lujo
1999,USA,Whitewater,33.92502146,-116.6341096,WWAV
2000,USA,Arroyo Grande,35.11900944,-120.5825848,WWAV
1958,Argentina,O higgins,-34.58251145,-60.69995041,Junin
1995,Argentina,El Bolson,-41.96701008,-71.53510449,Andes orthohantavirus 
1995,USA,Black Creek Canal,25.55061577,-80.35140688,Black Creek Canal orthohantavirus
1997,USA,Lehigh County,40.67527851,-75.6999894,Monongahela virus 
1997,USA,Cresco,41.156094,-75.28015437,Monongahela virus 
1993,USA,Navajo,35.88803384,-109.0313026,Sin Nombre orthohantavirus
1995,USA,Blue River,38.94350922,-94.56175797,Blue River virus
1951,South Korea,Hantan River,38.00728959,127.0166693,Hantaan orthohantavirus
1985,Slovenia,Dobrava,45.85522373,14.96944427,Dobrava-Belgrade orthohantavirus
1994,South Korea,Seoul,37.54316319,126.9928289,Seoul orthohantavirus 
1980,Finland,Puumala,61.52356343,28.17826617,Puumala orthohantavirus
1999,Thailand,Bangkok,13.76274007,100.5315671,Thailand virus-related hantavirus
1997,Paraguay,Filadelfia,-22.3520162,-60.03281605,Laguna Negra Virus
1997,Paraguay,Fortin Toledo,-22.22277204,-60.43688122,Laguna Negra Virus
1997,Paraguay,Montania,-21.98029502,-60.04819975,Laguna Negra Virus
1997,Paraguay,San Lowen,-22.30637333,-59.90301479,Laguna Negra Virus
1997,Paraguay,Monte Palma,-22.6058255,-59.53078634,Laguna Negra Virus
1997,Paraguay,Estancia Carau,-22.96817162,-59.46226147,Laguna Negra Virus
2015,Sri Lanka,Kandy,7.296066642,80.63394772,Thailand virus-related hantavirus
2015,Sri Lanka,Kegalle,7.256847412,80.34443369,Thailand virus-related hantavirus
2013,Sri Lanka,Polonnaruwa,7.948400147,81.00782146,Thailand virus-related hantavirus
1952,Bosnia,Fojnica,43.96221138,17.89897855,Dobrava-Belgrade orthohantavirus
1961,Serbia,Fruska Gora,45.15721112,19.71440802,Dobrava-Belgrade orthohantavirus
1954,Slovenia,Pohorje,46.31474485,15.98532472,Dobrava-Belgrade orthohantavirus
1967,Bosnia,Foca,43.50541405,18.77908917,Dobrava-Belgrade orthohantavirus
1967,Croatia,Plitvice,44.86435052,15.58341477,Dobrava-Belgrade orthohantavirus
1995,Bosnia,Tuzla,44.53865762,18.67859605,Dobrava-Belgrade orthohantavirus
2002,Croatia,Ivanovac,45.48283851,18.63820754,Dobrava-Belgrade orthohantavirus
1983,Greece,Tsepelovo,39.90495493,20.81983789,Puumala orthohantavirus
1982,Swedan,Dalarna,61.33727962,14.16304563,Puumala orthohantavirus
1995,France,Alsace,48.40727827,7.499540525,Puumala orthohantavirus
1984,Germany,Baden Wuttemberg,48.44705382,8.437356384,Puumala orthohantavirus
2022,Panama,Tonosi,7.406977927,-80.44201592,Choclo
2022,Panama,La Villa de los Santos,7.943510352,-80.40425802,Choclo
2022,Panama,Las Tablas,7.769755817,-80.27530265,Choclo
2022,Panama,Pese,7.908489132,-80.61340313,Choclo
2022,Panama,Ocu,7.942829125,-80.77535367,Choclo
2022,Panama,Nata,8.335902623,-80.51944975,Choclo
2022,Panama,Penonome,8.518853122,-80.35735981,Choclo
2012,USA,Curry Village,37.73825849,-119.5766075,HPS
2012,USA,High Sierra Camps,37.90949293,-119.4190343,HPS
2016,USA,Grand Forks,47.92441901,-97.03108242,HPS
2000,Bolivia ,Bermejo,-22.7315974,-64.33897596,Bermejo
2011,Brazil,Castelo dos Sonhos,-8.315698906,-55.09986164,Castelo dos Sonhos
2012,Brazil,Araraquara,-21.78399688,-48.1876002,Araraquara
2008,Brazil,Juquitiba,-23.9316288,-47.07032525,Juquitiba
2011,Brazil,Careiro da Varzea,-3.197660186,-59.82521817,Rio mamore
1996,Bolivia ,Rio mamore,-16.83590021,-64.79439735,Rio mamore
2011,Uruguay,Lechiguanas,-33.43399938,-59.69995966,Lechiguanas
1990,Venezuela,Cano Delgadito,8.791670513,-69.45028521,Cano Delgadito
1993,Louisana,La,32.40112368,-92.0363685,Bayou
1974,China,Longquan,28.06874722,119.1410307,Gou
1964,India,Thottapalayam,12.93394541,79.13440888,Thottapalayam
1990,Russia,Kurkino,53.43529067,38.66021344,Dobrava-Belgrade orthohantavirus
2000,Russia,Lipetsk,52.60709133,39.57719981,Dobrava-Belgrade orthohantavirus
2006,Russia,Dobrinka,52.03946505,40.5674934,Dobrava-Belgrade orthohantavirus
2006,Russia,Lavrovka,52.23763837,40.77077523,Dobrava-Belgrade orthohantavirus
2008,Russia,Sochi,43.60071628,39.73269806,Sochi genotype Dobrava-Belgrade orthohantavirus
2012,Germany,Heidelbery,49.40777657,8.680587493,Puumala orthohantavirus
2014,Russia,Krasnodar,44.99416204,39.07360434,Sochi genotype Dobrava-Belgrade orthohantavirus
2004,Germany,Rostock,54.08827744,12.11398675,Saaremaa orthohantavirus
2004,Germany,Kiel,54.31834505,10.12874268,Saaremaa orthohantavirus
2004,Germany,Lubeck,53.86479448,10.68849904,Saaremaa orthohantavirus
2004,Germany,Greifswald,54.08650798,13.37443963,Saaremaa orthohantavirus
2004,Germany,Gustrow,53.7945177,12.17880007,Saaremaa orthohantavirus
2004,Germany,Potsdam,52.40019454,13.06058422,Dobrava-Belgrade orthohantavirus
2004,Germany,Neuruppin,52.92146714,12.80601571,Dobrava-Belgrade orthohantavirus
2004,Germany,Hamburg,53.54920286,9.961526322,Dobrava-Belgrade orthohantavirus
2004,Germany,Bradenburg,52.41335896,12.55090805,Dobrava-Belgrade orthohantavirus
2004,Germany,Demmin,53.90990657,13.02662868,Dobrava-Belgrade orthohantavirus
2004,Germany,Magdeburg,52.11877529,11.63147428,Dobrava-Belgrade orthohantavirus
2004,Germany,Cottbus,51.75669949,14.33775997,Dobrava-Belgrade orthohantavirus
2004,Germany,Altenburg,50.98327328,12.434879,Dobrava-Belgrade orthohantavirus
2004,Germany,Chemnitz,50.82866401,12.91793666,Dobrava-Belgrade orthohantavirus
2004,Germany,Fulda,50.55362519,9.668717939,Dobrava-Belgrade orthohantavirus
2021,France,Saint Claude,46.38518948,5.861601336,Puumala orthohantavirus
2015,France,Melun,48.53020334,2.658756307,Tula genotype dobv
2014,France,Dijon,47.3182403,5.027234621,Seoul orthohantavirus 
2015,France,Erize-Saint-Dizier,48.81459837,5.282478659,Seoul orthohantavirus 
2016,France,Turckheim,48.08531798,7.27790737,Seoul orthohantavirus 
2016,Netherlands,Arnhem,51.96824761,5.899766257,Prospect Hill orthohantavirus 
1982,USA,Prospect Hill,36.24937881,-79.19105666,Seoul orthohantavirus 
2006,Honduras,Catacamas,14.85377917,-85.89934476,Catacamas orthohantavirus 
2002,Bolivia ,Concepcion,-16.13060999,-62.0286165,Laguna Negra Virus
2011,Peru,Iquitos,-3.697699385,-73.2791828,Andes orthohantavirus 
2008,French Guinea,Maripa,3.816127477,-51.88849259,Maripa virus
2008,South Korea,Muju-gun,35.93528195,127.7134028,Muju virus
1996,Brazil,Flexal,-20.28522058,-40.38043902,Flexal
1975,Colombia,Pichinde,3.435043237,-76.61661101,Pichinde
2019,Guinea,Kissidougou,9.19985205,-10.10158366,Lassa
1972,Guinea,Bambaya,9.287642071,-10.41957199,Lassa
1972,Guinea,Dandou,9.193570789,-9.900960409,Lassa
1972,Guinea,Telekoro,9.450037756,-10.70942269,Lassa
1972,Guinea,Yende,8.887804627,-10.17021056,Lassa
1972,Liberia,Zorzor,7.776762949,-9.428498902,Lassa
1935,Nigeria,Makurdi,7.697293293,8.557313059,Lassa
1952,Nigeria,Rahama,10.8890221,8.127271154,Lassa
1956,Sierra Leonne,Segbwema,7.99806311,-10.9492425,Lassa
1970,Nigeria,Vom,9.730105036,8.791919393,Lassa
